Code,Name (en-CA),Name (fr-CA),Groups
DONATE-FOODFRESH,"Donations - Food, Fresh Items",Dons - Aliments frais,DONFOOD
DONATE-FOODNP,"Donations - Food, Non-Perishable Items",Dons - Aliments non périssables,DONFOOD
DONATE-FURNHH,"Donations - Furniture, Office",Dons - meubles de bureau,DONFURN
DONATE-FURNOFFICE,"Donations - Furniture, Household",Dons - meubles de maison,DONFURN
DONATE-GCCLOTH,"Donations - Gift Cards, Clothing",Dons - Cartes cadeaux pour vêtements,DONCLOTH ; DONGC
DONATE-GCFUEL,"Donations - Gift Cards, Fuel",Dons - Cartes cadeaux pour carburant,DONGC
DONATE-GCGROCERY,"Donations - Gift Cards, Grocery",Dons - Cartes cadeaux pour épicerie,DONFOOD ; DONGC
DONATE-GCREC,"Donations - Gift Cards, Recreation",Dons - Cartes cadeaux pour loisirs,DONGC ; DONREC
DONATE-GCREST,"Donations - Gift Cards, Restaurant",Dons - Cartes cadeaux pour restaurant,DONFOOD ; DONGC
DONATE-LINEN,Donations - Bedding / Linens,Dons - Literie et linge,DONHOUSE
DONATE-MAGAZINE,Donations - Magazines,Dons - magazines,DONBOOK
DONATE-PETFOOD,Donations - Pet Food,Dons - Aliments pour animaux,DONPET
DONATE-PETSUPPLIES,Donations - Pet Supplies,Dons - Fournitures pour animaux,DONPET
DONATE-SPORTING,Donations - Sporting Goods,Dons - Articles de sport,DONREC
DONATE-STATIONERY,Donations - Stationery Supplies,Dons - papeterie,DONSUPPLY
DONATE-TOILETRIES,Donations - Toiletries,Dons - Articles de toilettes,DONHOUSE
DONATE-TOY,Donations - Children's Toys,Dons - Jouets,DONREC
EDUCATIONADULT,Education Support (Post-Secondary),Soutien à l'éducation (postsecondaire),TRAINING
EDUCATIONCHILDYOUTH,Education Support (Elementary / Secondary),Soutien à l'éducation (élémentaire/secondaire),CHILDREN ; TRAINING
EDUCATIONEARLY,Education Support (Early Years),Soutien à l'éducation (petite enfance),CHILDREN ; TRAINING
ELECTRICAL,Electrician,Électricien,BUILDING
EMERGENCY,Emergency & Response,Intervention d'urgence,EMERGENCY
